Correspondence between the short and original species names from:
	/Users/quyen/KaSim/models/CMSB2017_tool_paper/multisite_phos/network_e8_with_fsym.net

s0	: S(p1~U,p2~U,p3~U,p4~U,p5~U,p6~U,p7~U,p8~U)
s1	: F(s)
s2	: E(s)
s3	: E(s!1).S(p1~U,p2~U,p3~U,p4~U,p5~U,p6~U,p7~U,p8~U!1)
s4	: E(s!1).S(p1~U,p2~U,p3~U,p4~U,p5~U,p6~U,p7~U!2,p8~U!1).E(s!2)
s5	: S(p1~P,p2~U,p3~U,p4~U,p5~U,p6~U,p7~U,p8~U)
s6	: S(p1~P!1,p2~U,p3~U,p4~U,p5~U,p6~U,p7~U,p8~U).F(s!1)
s7	: E(s!1).S(p1~P,p2~U,p3~U,p4~U,p5~U,p6~U,p7~U,p8~U!1)
s8	: E(s!1).S(p1~P!2,p2~U,p3~U,p4~U,p5~U,p6~U,p7~U,p8~U!1).F(s!2)
s9	: E(s!1).S(p1~P,p2~U,p3~U,p4~U,p5~U,p6~U,p7~U!2,p8~U!1).E(s!2)
s10	: S(p1~P,p2~P,p3~U,p4~U,p5~U,p6~U,p7~U,p8~U)
s11	: S(p1~P,p2~P!1,p3~U,p4~U,p5~U,p6~U,p7~U,p8~U).F(s!1)
s12	: E(s!1).S(p1~P,p2~P,p3~U,p4~U,p5~U,p6~U,p7~U,p8~U!1)
s13	: E(s!1).S(p1~P,p2~P!2,p3~U,p4~U,p5~U,p6~U,p7~U,p8~U!1).F(s!2)
s14	: E(s!1).S(p1~P,p2~P,p3~U,p4~U,p5~U,p6~U,p7~U!2,p8~U!1).E(s!2)
s15	: S(p1~P,p2~P,p3~P,p4~U,p5~U,p6~U,p7~U,p8~U)
s16	: S(p1~P,p2~P,p3~P!1,p4~U,p5~U,p6~U,p7~U,p8~U).F(s!1)
s17	: E(s!1).S(p1~P,p2~P,p3~P,p4~U,p5~U,p6~U,p7~U,p8~U!1)
s18	: E(s!1).S(p1~P,p2~P,p3~P!2,p4~U,p5~U,p6~U,p7~U,p8~U!1).F(s!2)
s19	: E(s!1).S(p1~P,p2~P,p3~P,p4~U,p5~U,p6~U,p7~U!2,p8~U!1).E(s!2)
s20	: S(p1~P,p2~P,p3~P,p4~P,p5~U,p6~U,p7~U,p8~U)
s21	: S(p1~P,p2~P,p3~P,p4~P!1,p5~U,p6~U,p7~U,p8~U).F(s!1)
s22	: E(s!1).S(p1~P,p2~P,p3~P,p4~P,p5~U,p6~U,p7~U,p8~U!1)
s23	: E(s!1).S(p1~P,p2~P,p3~P,p4~P!2,p5~U,p6~U,p7~U,p8~U!1).F(s!2)
s24	: E(s!1).S(p1~P,p2~P,p3~P,p4~P,p5~U,p6~U,p7~U!2,p8~U!1).E(s!2)
s25	: S(p1~P,p2~P,p3~P,p4~P,p5~P,p6~U,p7~U,p8~U)
s26	: S(p1~P,p2~P,p3~P,p4~P,p5~P!1,p6~U,p7~U,p8~U).F(s!1)
s27	: E(s!1).S(p1~P,p2~P,p3~P,p4~P,p5~P,p6~U,p7~U,p8~U!1)
s28	: E(s!1).S(p1~P,p2~P,p3~P,p4~P,p5~P!2,p6~U,p7~U,p8~U!1).F(s!2)
s29	: E(s!1).S(p1~P,p2~P,p3~P,p4~P,p5~P,p6~U,p7~U!2,p8~U!1).E(s!2)
s30	: S(p1~P,p2~P,p3~P,p4~P,p5~P,p6~P,p7~U,p8~U)
s31	: S(p1~P,p2~P,p3~P,p4~P,p5~P,p6~P!1,p7~U,p8~U).F(s!1)
